"PVWatts Hourly PV Performance Data"
"Requested Location","yinchuan"
"Solar Resource Data Location","NSRDB Lat/Lng: 38.45, 106.26"
"Latitude (degrees)", 38.45
"Longitude (degrees)", 106.26
"Elevation (m)","1114"
"DC System Size (kW)","1"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"10","29","9","241","203","10.3","3.4","0.2","354.447","17.044","312.828","297.779"
"10","29","10","31","266","12","3.6","0.2","289.237","17.308","249.112","236.322"
"10","29","11","480","262","13.6","3.8","0.2","689.812","25.906","586.288","561.549"
"10","29","12","548","250","14.7","4.1","0.2","756.615","27.618","638.063","611.491"
"10","29","13","576","228","15.4","4.2","0.2","743.096","27.917","627.297","601.106"
"10","29","14","596","186","15.7","4.2","0.2","661.507","26.861","564.209","540.254"
"10","29","15","514","157","15.2","4","0.2","493.446","23.785","428.518","409.37"
"10","29","16","347","112","13.8","3.2","0.2","271.229","19.114","233.701","221.457"
"10","29","17","75","35","11.3","2.1","0.2","55.146","12.561","39.666","34.297"
"10","29","18","0","0","9.1","1.5","0.2","0","9.1","0","0"
"10","29","19","0","0","8","1.5","0.2","0","8","0","0"
"10","29","20","0","0","7","1.4","0.2","0","7","0","0"
"10","29","21","0","0","6.2","1.3","0.2","0","6.2","0","0"
"10","29","22","0","0","5.4","1.2","0.2","0","5.4","0","0"
"10","29","23","0","0","4.8","1.1","0.2","0","4.8","0","0"
"10","30","0","0","0","4.4","1","0.2","0","4.4","0","0"
"10","30","1","0","0","4.2","1","0.2","0","4.2","0","0"
"10","30","2","0","0","4.2","1","0.2","0","4.2","0","0"
"10","30","3","0","0","4.4","1.1","0.2","0","4.4","0","0"
"10","30","4","0","0","4.8","1.1","0.2","0","4.8","0","0"
"10","30","5","0","0","5.1","1","0.2","0","5.1","0","0"
"10","30","6","0","0","5.4","0.9","0.2","0","5.4","0","0"
"10","30","7","6","7","5.5","0.9","0.2","7.4","5.715","4.561","0.436"
"10","30","8","197","103","7.8","1.4","0.2","187.339","12.97","160.832","151.169"
"10","30","9","4","35","9.9","1.7","0.2","34.745","10.801","28.734","23.753"
"10","30","10","25","188","11.6","1.8","0.2","200.835","16.686","171.725","161.676"
"10","30","11","628","199","13","1.7","0.2","741.098","32.221","616.974","591.148"
"10","30","12","672","193","14.1","1.4","0.2","801.985","36.326","655.611","628.416"
"10","30","13","124","407","14.7","1.3","0.2","544.49","30.093","449.887","429.982"
"10","30","14","164","354","14.8","1.2","0.2","505.729","29.47","421.417","402.521"
"10","30","15","26","113","14.4","1","0.2","127.353","18.288","107.43","99.659"
"10","30","16","4","33","13.4","0.7","0.2","32.33","14.469","26.283","21.388"
"10","30","17","0","11","11.8","0.6","0.2","10.203","12.137","7.17","2.953"
"10","30","18","0","0","10.5","1.1","0.2","0","10.5","0","0"
"10","30","19","0","0","9.3","2.4","0.2","0","9.3","0","0"
"10","30","20","0","0","7.7","4","0.2","0","7.7","0","0"
"10","30","21","0","0","6.2","5.1","0.2","0","6.2","0","0"
"10","30","22","0","0","4.9","5.4","0.2","0","4.9","0","0"
"10","30","23","0","0","4.1","5.3","0.2","0","4.1","0","0"
"10","31","0","0","0","3.4","4.9","0.2","0","3.4","0","0"
"10","31","1","0","0","2.5","4.3","0.2","0","2.5","0","0"
"10","31","2","0","0","1.5","3.6","0.2","0","1.5","0","0"
"10","31","3","0","0","0.6","3.1","0.2","0","0.6","0","0"
"10","31","4","0","0","-0.2","2.8","0.2","0","-0.2","0","0"
"10","31","5","0","0","-0.8","2.5","0.2","0","-0.8","0","0"
"10","31","6","0","0","-1.1","2.4","0.2","0","-1.1","0","0"
"10","31","7","1","6","-1.2","2.4","0.2","5.7","-1.08","3.69","0"
"10","31","8","271","93","1.6","3","0.2","202.005","5.667","177.6","167.343"
"10","31","9","75","211","4.4","3.2","0.2","266.825","9.634","239.185","226.746"
"10","31","10","88","313","6.8","3.5","0.2","399.278","14.247","351.281","334.87"
"10","31","11","34","327","8","3.9","0.2","358.456","14.279","311.874","296.86"
"10","31","12","24","312","8.2","4","0.2","332.768","13.941","288.568","274.38"
"10","31","13","23","274","7.8","3.9","0.2","290.803","12.892","252.773","239.852"
"10","31","14","24","238","7.8","4","0.2","253.557","12.183","221.487","209.675"
"10","31","15","95","247","7.9","4.1","0.2","322.514","13.414","285.658","271.572"
"10","31","16","169","141","6.9","3.4","0.2","225.988","11.189","199.83","188.785"
"10","31","17","111","31","4.6","1.9","0.2","60.413","6.018","42.943","37.458"
"10","31","18","0","0","3.2","1.2","0.2","0","3.2","0","0"
"10","31","19","0","0","3.4","1","0.2","0","3.4","0","0"
"10","31","20","0","0","3.5","1","0.2","0","3.5","0","0"
"10","31","21","0","0","3.3","1.1","0.2","0","3.3","0","0"
"10","31","22","0","0","3","1.2","0.2","0","3","0","0"
"10","31","23","0","0","2.4","1.6","0.2","0","2.4","0","0"
"11","1","0","0","0","2","1.9","0.2","0","2","0","0"
"11","1","1","0","0","1.9","2","0.2","0","1.9","0","0"
